author_id,author_url,author_name,fan_count,following_count,like_count,tags,description,ip_location,crawl_time
Mingliang2610,https://www.xiaohongshu.com/user/profile/569e5bcf5e87e741224c97b4?channel_type=web_search_result_notes&xsec_token=ABR1U3CfuqHyfuMM5syiQI8caS_fEibinYwzJ3opPIXqg%3D&xsec_source=pc_note,明亮明亮哇,637,340,23000,浙江杭州,🔸93年 |杭漂上班族| 💰目标100w 💡极简消费 | 存折定期 | 人间清醒搞钱人 🌏周末游特种兵 | 穷游保姆 💌Mingliang2610,浙江,2025-04-24 17:42:04
100433171,https://www.xiaohongshu.com/user/profile/56df90a1aed75850f6b86612?channel_type=web_search_result_notes&xsec_token=AB-aoFT46tPcfFErmO1D0MsA-_7qU5P2TNI6oIgh-F0LI%3D&xsec_source=pc_note,❤,720,59,2801,中国,,北京,2025-04-24 17:42:04
957193818,https://www.xiaohongshu.com/user/profile/572ae1f984edcd154f0a8537?channel_type=web_search_result_notes&xsec_token=AB8HBC2JJqAwQTIgDP0R7u5CdVdplgqV8Akva5EytuhkI%3D&xsec_source=pc_note,南鱼泡泡,366,65,7232,"中国
巴塞罗那大学",喜欢徒步、旅行🧳、潜水🤿 对菌类植物很感兴趣 搭子是一只小博美,浙江,2025-04-24 17:42:04
xujiao1016,https://www.xiaohongshu.com/user/profile/5788ed155e87e74db8e0dbfb?channel_type=web_search_result_notes&xsec_token=ABbp_300Ool6vFk-UQc_ZaHqjUZxpLc4WyckuJ2P6HoGA%3D&xsec_source=pc_note,triangel-姣,4843,438,61000,"天秤座
中国
母婴博主
探店博主",📍上海｜遛娃、旅行、美食、探店 📝笔记已分类收藏，欢迎👏自取！ 💌176554956🌀qq.com,上海,2025-04-24 17:42:04
494149810,https://www.xiaohongshu.com/user/profile/5873136d82ec394633888b52?channel_type=web_search_result_notes&xsec_token=ABzinU2nNRhfe2X4I8K_FUwVC5K__aMx9T2Va8YcCJDZI%3D&xsec_source=pc_note,ninyboby,138,2063,11000,四川成都,intp-进化为enfp 一个努力高质量追星的朋友 愿意交朋友哦🤩,四川,2025-04-24 17:42:04
942592781,https://www.xiaohongshu.com/user/profile/58d386c65e87e73e7dda6d58?channel_type=web_search_result_notes&xsec_token=AB4LL9zp8-7pHZzxXv4JMH6u3OMBcrZZZl8_NKbl4eVig%3D&xsec_source=pc_note,💎Fion1122💎,525,846,4231,广东佛山,中意点就点咯,广东,2025-04-24 17:42:04
604315315,https://www.xiaohongshu.com/user/profile/58e8cd365e87e7773134aa50?channel_type=web_search_result_notes&xsec_token=ABoR3ykPXWpiyGTFMltki3N4I6lug50-32kB4gEcqWrts%3D&xsec_source=pc_note,漫自由,20000,185,426000,陕西西安,🥇中国旅行社 🏆全国💯国际旅行社 ☂ 保姆级带你游遍国内外 🌏出境旅游∣国内旅游∣定制旅游,陕西,2025-04-24 17:42:04
428251847,https://www.xiaohongshu.com/user/profile/592fa8be5e87e761aee6a262?channel_type=web_search_result_notes&xsec_token=AB5fmbnh_ZcvacnMvUeNwjKIfMJ3nD9bwI-pZ-jtuw8sE%3D&xsec_source=pc_note,大君,117,284,829,"天秤座
浙江杭州",对一个人尽心，对所有人尽力,浙江,2025-04-24 17:42:04
5466603030,https://www.xiaohongshu.com/user/profile/5951d96682ec395da80f8cd1?channel_type=web_search_result_notes&xsec_token=ABzQG3GWiTTRZpqpyoho_640gXUJlB1YVZ6rts6WtW0-w%3D&xsec_source=pc_note,悦是天上月,45000,221,870000,"旅行博主
探店博主",和你分享我眼中的世界🌍✨ 02enfp｜独自旅行｜背包客｜成长经历 一个人9国🇸🇬🇲🇾🇮🇩🇹🇭🇰🇿🇺🇿🇰🇷🇦🇿🇹🇷 📮347511442@qq.com.@美宜佳,黑龙江,2025-04-24 17:42:04
Dazhu0911,https://www.xiaohongshu.com/user/profile/596c343850c4b459ba92994e?channel_type=web_search_result_notes&xsec_token=ABUroZmCq9s1eqiManESWFUZNgHX2CNWbibf_8WbJxjMg%3D&xsec_source=pc_note,大猪阿,875,66,30000,"处女座
广东深圳
旅行博主
vlog博主",Hello👋我是大猪 拥有一家旅行社的90后女孩 徒步户外｜社交旅行｜旅行干货 是爱笑的快乐小狗呀！！ 期待和你一起去看世界🌍,广东,2025-04-24 17:42:04
