comment_id,note_id,user_id,user_name,user_url,comment_content,comment_date,comment_likes,comment_replies,crawl_time
comment-68099dbd000000001f01b4d7,67fa4534000000001c01e6b9,67f0906e00000000060137f0,诸事皆安,https://www.xiaohongshu.com/user/profile/67f0906e00000000060137f0?channel_type=web_search_result_notes&parent_page_channel_type=web_user_board&xsec_token=ABWWIwxS1IOA2JpxvCmDMbpCiwSxtksVw0nuPSfWvY8DU=&xsec_source=pc_comment,印尼的摩托车真的像蚂蚁一样多，过马路什么一定要小心。且就算是打车去什么地方，别看距离，预留多一点时间，因为摩托车横冲直撞，打车也开不快，七八公里，开四五十分钟晚上的话没什么摩托就快一些。,2025-04-24,0,1,2025-04-24 14:31:07
comment-67fe5d86000000001e0235d5,67fa4534000000001c01e6b9,5e5734780000000001002559,Jason.kang,https://www.xiaohongshu.com/user/profile/5e5734780000000001002559?channel_type=web_search_result_notes&parent_page_channel_type=web_user_board&xsec_token=ABXLKksVDa4RlIptGOc8oSvFt_hdLK1bIpx2OnaOn4Amo=&xsec_source=pc_comment,带着,2025-04-15,5,33,2025-04-24 14:31:07
comment-680138cc000000001301381f,67fa4534000000001c01e6b9,5a07b601b1da147b1eadbf5c,西瓜酱子,https://www.xiaohongshu.com/user/profile/5a07b601b1da147b1eadbf5c?channel_type=web_search_result_notes&parent_page_channel_type=web_user_board&xsec_token=ABWIs532B984VKJNCPWgqCG5S-l-XzbnIVis39YJy5fJY=&xsec_source=pc_comment,住宿推荐喜来登，超美的雨林环境,2025-04-18,0,5,2025-04-24 14:31:07
comment-67ff3b0f000000001e03c772,67fa4534000000001c01e6b9,561c6b9562a60c4bcc283e29,快乐的小丸子Abby,https://www.xiaohongshu.com/user/profile/561c6b9562a60c4bcc283e29?channel_type=web_search_result_notes&parent_page_channel_type=web_user_board&xsec_token=ABynRZVBFQvY2qBrdbNIPSleH4HxM-HSjedS1n25Oe9W0=&xsec_source=pc_comment,不要线上办签证！落地签便宜方便！,2025-04-16,5,12,2025-04-24 14:31:07
comment-680649ef000000001f00316e,67fa4534000000001c01e6b9,68028601000000000d009002,小红薯6803E16C,https://www.xiaohongshu.com/user/profile/68028601000000000d009002?channel_type=web_search_result_notes&parent_page_channel_type=web_user_board&xsec_token=ABJEhMfM-kBcBAIDLkGRy6z21BkNFdy5uumaCIGuMy1iE=&xsec_source=pc_comment,雅加达苏什么什么机场落地签需要一寸照片吗,2025-04-22,1,0,2025-04-24 14:31:07
comment-680609be00000000040168eb,67fa4534000000001c01e6b9,5b2716f511be1007a888dcb8,火锅要油碟,https://www.xiaohongshu.com/user/profile/5b2716f511be1007a888dcb8?channel_type=web_search_result_notes&parent_page_channel_type=web_user_board&xsec_token=ABp4hNRYPFjhDA21Wg7T1mxMF0oykbNgfXQV8OWkvvphA=&xsec_source=pc_comment,出差一个星期吃了四天兰州拉面,2025-04-22,0,0,2025-04-24 14:31:07
comment-6809c99f0000000020016bb5,67fa4534000000001c01e6b9,63070523000000001200c183,雨季,https://www.xiaohongshu.com/user/profile/63070523000000001200c183?channel_type=web_search_result_notes&parent_page_channel_type=web_user_board&xsec_token=ABJCIUfcQpU-c_42Qivfnp4BaPH3ca1ZfJ8Ei6t4ObBdI=&xsec_source=pc_comment,武汉怎么去印尼巴厘岛啊没有直飞的从哪转机啊,2025-04-24,0,0,2025-04-24 14:31:07
comment-67fb876d000000001f003103,67fa4534000000001c01e6b9,5f0840990000000001000a0c,Andy🥑,https://www.xiaohongshu.com/user/profile/5f0840990000000001000a0c?channel_type=web_search_result_notes&parent_page_channel_type=web_user_board&xsec_token=AB33aVXOoZBQ7eThmEh6W9gmkumeZG71TbHKkUMQQ2MDo=&xsec_source=pc_comment,不来就是最大的避雷了我现在超想回国,2025-04-13,13,18,2025-04-24 14:31:07
comment-68058c78000000001e03e65c,67fa4534000000001c01e6b9,59d02f7951783a5288f31870,普通牌甜辣酱_,https://www.xiaohongshu.com/user/profile/59d02f7951783a5288f31870?channel_type=web_search_result_notes&parent_page_channel_type=web_user_board&xsec_token=ABssvtrBM7Sdronu1uOUUTCu9XQtET0xgH5tf9Ym9J4lQ=&xsec_source=pc_comment,带好感冒药什么的，带好消毒湿巾。,2025-04-21,0,3,2025-04-24 14:31:07
comment-6808fffd000000001f003928,67fa4534000000001c01e6b9,5e443d3400000000010066b7,野白：,https://www.xiaohongshu.com/user/profile/5e443d3400000000010066b7?channel_type=web_search_result_notes&parent_page_channel_type=web_user_board&xsec_token=ABEveoXaEkmHK4dPLyXjRK75E2u_sEvLt_1BjIijXmuMg=&xsec_source=pc_comment,别在机场吃饭,2025-04-23,0,0,2025-04-24 14:31:07
